recept	ingrediens	behov	enhet	kedja	produkt	kategori	paket	paketenhet	antal	exakt	radpris	flagga
aggwok-ris	Sojasås	0.75	dl	Willys	Sojasås Japansk Vegan	Skafferi > Kryddor & smaksättare > Soja	176.0	g	1	False	31.13	estimat volym_mot_vikt
biffbowl-teriyaki	Sojasås	1.0	dl	Willys	Sojasås Japansk Vegan	Skafferi > Kryddor & smaksättare > Soja	176.0	g	1	False	31.13	estimat volym_mot_vikt
bulk-kyckling-jattebowl	Sojasås	0.5	dl	Willys	Sojasås Japansk Vegan	Skafferi > Kryddor & smaksättare > Soja	176.0	g	1	False	31.13	estimat volym_mot_vikt
falafel-pitabrod	Grekisk yoghurt	2.0	dl	Willys	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	14.9	smakords_misstanke 
falafel-pitabrod	Grekisk yoghurt	2.0	dl	Hemköp	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	19.34	smakords_misstanke 
falafel-pitabrod	Grekisk yoghurt	2.0	dl	City Gross	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	16.95	smakords_misstanke 
fetapasta	Pasta	300.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
fetapasta	Pasta	300.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
fetapasta	Pasta	300.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
fishtacos	Grekisk yoghurt	1.0	dl	Willys	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	14.9	smakords_misstanke 
fishtacos	Grekisk yoghurt	1.0	dl	Hemköp	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	19.34	smakords_misstanke 
fishtacos	Grekisk yoghurt	1.0	dl	City Gross	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	16.95	smakords_misstanke 
fiskpasta	Pasta	250.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
fiskpasta	Pasta	250.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
fiskpasta	Pasta	250.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
flasktomatpasta	Pasta	250.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
flasktomatpasta	Pasta	250.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
flasktomatpasta	Pasta	250.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
gronsakssoppa-med-pasta	Pasta	150.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
gronsakssoppa-med-pasta	Pasta	150.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
gronsakssoppa-med-pasta	Pasta	150.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
halloumibowl	Yoghurt	200.0	g	Willys	Naturell Yoghurt Syrlig 3%	Mejeri, ost & ägg > Filmjölk & Yoghurt > Naturell yoghurt	1000.0	g	1	True	16.5	smakords_misstanke 
halloumibowl	Yoghurt	200.0	g	Hemköp	Naturell Yoghurt Syrlig 3%	Mejeri, ost & ägg > Filmjölk & Yoghurt > Naturell yoghurt	1000.0	g	1	True	17.85	smakords_misstanke 
halloumibowl	Yoghurt	200.0	g	City Gross	Naturell Yoghurt Syrlig 3%	Mejeri, ost & ägg > Filmjölk & Yoghurt > Naturell yoghurt	1000.0	g	1	True	16.5	smakords_misstanke 
halloumipasta	Pasta	250.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
halloumipasta	Pasta	250.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
halloumipasta	Pasta	250.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
hoisin-flask-ris	Sojasås	0.75	dl	Willys	Sojasås Japansk Vegan	Skafferi > Kryddor & smaksättare > Soja	176.0	g	1	False	31.13	estimat volym_mot_vikt
kikartscurry-protein	Currypasta	2.0	msk	Hemköp	Red Curry Paste Currypasta	Skafferi > Asien > Övrigt asien	50.0	g	1	True	14.14	smakords_misstanke 
korvgratang	Pasta	250.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
korvgratang	Pasta	250.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
korvgratang	Pasta	250.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
korvgryta-krossade-tomater	Pasta	400.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
korvgryta-krossade-tomater	Pasta	400.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
korvgryta-krossade-tomater	Pasta	400.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
kottfarssas	Pasta	250.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
kottfarssas	Pasta	250.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
kottfarssas	Pasta	250.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
kramig-kycklingpasta	Pasta	350.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
